CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20_1
Chinquapin Park/Belvedere,CSA2010,,,,,,,,,,,,Chinquapin Park/Belvedere
Chinquapin Park/Belvedere,arrest,,,,,13.438217,14.585382,7.735946,,,,,
Chinquapin Park/Belvedere,banks,,0.257865,0.386797,0.386797,0.51573,0.257865,0.257865,0.257865,0.257865,0.386797,,
Chinquapin Park/Belvedere,biz1_,5.714286,7.03125,9.655172,6.395349,3.3557,6.976744,5.839416,5.511811,5.511811,8.61244,,
Chinquapin Park/Belvedere,biz2_,21.428571,10.9375,20.0,22.674419,12.0805,13.565891,18.978102,22.834646,20.472441,16.267943,,
Chinquapin Park/Belvedere,biz4_,32.142857,28.90625,35.172414,37.790698,38.9262,31.0,31.386861,32.283465,25.984252,26.315789,,
Chinquapin Park/Belvedere,bkln,,,0.806093,,,,,,,,0.0,
Chinquapin Park/Belvedere,busload,,,,,,,,420.32,253.045,,,
Chinquapin Park/Belvedere,clogged,5.028365,4.254771,6.059825,3.867973,3.223311,2.965446,3.610108,2.191851,3.739041,5.673027,4.254771,
Chinquapin Park/Belvedere,cmos,,3.0,,,0.0,,,,,,,
Chinquapin Park/Belvedere,comprop,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,,
